trace,D,replication,start_inst,total_cycles,exec_time_ms,pct_int,pct_fp,pct_branch,pct_load,pct_store
srv_0,2,4,15000000,1199986,0.999988,47.6417,0.6309,18.4237,22.928,10.3757
srv_0,2,5,20000000,1221088,1.01757,47.5779,0.4046,18.7975,22.9112,10.3088
srv_0,2,6,25000000,1218643,1.01554,47.5057,0.4098,18.7701,22.967,10.3474
srv_0,3,1,1,1572439,0.924964,47.5764,0.4487,18.7246,22.9315,10.3188
srv_0,3,2,5000000,1537642,0.904495,47.9605,0.7024,18.2051,22.8653,10.2667
srv_0,3,3,10000000,1557717,0.916304,47.7866,0.5066,18.488,22.8909,10.3279
srv_0,3,4,15000000,1547345,0.910203,47.6417,0.6309,18.4237,22.928,10.3757
srv_0,3,5,20000000,1579906,0.929356,47.5779,0.4046,18.7975,22.9112,10.3088
srv_0,3,6,25000000,1577166,0.927745,47.5057,0.4098,18.7701,22.967,10.3474
srv_0,4,1,1,1575065,0.875036,47.5764,0.4487,18.7246,22.9315,10.3188
srv_0,4,2,5000000,1541861,0.856589,47.9605,0.7024,18.2051,22.8653,10.2667
srv_0,4,3,10000000,1560628,0.867016,47.7866,0.5066,18.488,22.8909,10.3279
srv_0,4,4,15000000,1551322,0.861846,47.6417,0.6309,18.4237,22.928,10.3757
srv_0,4,5,20000000,1582402,0.879112,47.5779,0.4046,18.7975,22.9112,10.3088
srv_0,4,6,25000000,1579686,0.877603,47.5057,0.4098,18.7701,22.967,10.3474
